timeDelta,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature
1.0,-7.512302798663666e-07,-1.982942870713252e-07,3.125613699961764e-05,8.584757015381483e-06,1.6692583085463994e-06,1.6692583085463994e-06,22.88
1.0,-6.163053464734803e-06,-1.6194014204394434e-06,0.000268504779275883,6.777914143140916e-05,1.5769277495161473e-05,8.85377878832639e-06,22.88
1.0,-2.546917015077282e-05,-6.567248116780413e-06,0.001156221482584063,0.00026747852662094675,7.998691961544235e-05,1.748457488261729e-05,22.88
1.0,-7.27135773226176e-05,-1.7991461135052623e-05,0.0034086919382338996,0.0007256186855436672,0.00028204350633237083,2.0396267421370996e-06,22.93
1.0,-0.00016498604906021785,-3.81448264035413e-05,0.007892735345167991,0.0015630956696824519,0.0007636198419561565,-8.514990386780023e-05,22.93
1.0,-0.00032133709450865583,-6.794532111608191e-05,0.015501249568134106,0.0029032207038992533,0.0017007998089195952,-0.00030798216263638206,22.88
1.0,-0.0005615751598425536,-0.00010769562682979836,0.027059181717188796,0.00487642759528504,0.003287506441920218,-0.0007448560439177865,22.93
1.0,-0.0009044227123543188,-0.0001581648246596202,0.043256393279803906,0.0075920277100941765,0.005718900728488737,-0.001481810648083769,22.93
1.0,-0.0013659839455841217,-0.00022079105401119197,0.06460303096315673,0.011092924132020905,0.009172865637482649,-0.0025904436479519607,22.88
1.0,-0.0019584852669059924,-0.00029706108188880915,0.09140518485516932,0.015357790594475488,0.013802915945334669,-0.004112034437343074,22.93
1.0,-0.002688898396904889,-0.000387955350558006,0.12375867222631046,0.020349636383440308,0.019719703320491257,-0.006073736695701594,22.93
1.0,-0.003558230362751939,-0.0004938344114967266,0.16155550750674155,0.026039886637503125,0.026965248333656374,-0.00851172365189721,22.88
1.0,-0.004561500327939727,-0.0006144088617533425,0.20449748933081494,0.03239648967043283,0.035502423807837795,-0.011464919390329181,22.93
1.0,-0.005687970808851693,-0.0007488023165684637,0.25211577436428906,0.039381182575614994,0.04521753833348301,-0.014949833286066621,22.88
1.0,-0.00692198700062037,-0.0008962032319691804,0.3037971312135334,0.046950450984570985,0.055953553221000304,-0.018939690706928865,22.88
1.0,-0.008244424464926682,-0.0010566358853221765,0.3588149446768105,0.05504105351424934,0.06754803686113617,-0.02335813470758668,22.84
1.0,-0.009634459833989617,-0.0012303351648014417,0.41636150400166366,0.0635686157744373,0.07982708553991227,-0.028092722660640654,22.88
1.0,-0.011070823632603926,-0.0014160972545553166,0.4755800118534936,0.07244830355827145,0.09259637522083959,-0.03301766922377352,22.93
1.0,-0.012531429796034247,-0.0016109083546618891,0.5355953451530205,0.08160642167693198,0.10566715722409775,-0.03801115481535792,22.93
1.0,-0.01399263392379873,-0.0018112155410926008,0.5955414182662372,0.09097613100780026,0.11887278326091233,-0.042964120797103905,22.88
