timeDelta,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,temperature
1.0,-0.0826416015625,0.150634765625,0.98101806640625,0.08396946564885496,0.22137404580152673,-0.16030534351145037,23.68
1.0,-0.0775146484375,0.156494140625,0.97760009765625,0.17557251908396945,0.0,-0.20610687022900764,23.78
1.0,-0.0814208984375,0.145263671875,0.97686767578125,0.17557251908396945,0.0916030534351145,-0.13740458015267176,23.73
1.0,-0.0858154296875,0.1484375,0.98077392578125,0.022900763358778626,0.19083969465648856,-0.03816793893129771,23.68
1.0,-0.0814208984375,0.155029296875,0.98663330078125,0.19083969465648856,0.1297709923664122,-0.183206106870229,23.68
1.0,-0.0823974609375,0.152587890625,0.98199462890625,0.1450381679389313,0.31297709923664124,0.08396946564885496,23.73
1.0,-0.0882568359375,0.150146484375,0.97637939453125,0.2900763358778626,0.2748091603053435,-0.07633587786259542,23.73
1.0,-0.0823974609375,0.1474609375,0.98077392578125,0.25190839694656486,0.4198473282442748,-0.1984732824427481,23.68
1.0,-0.0841064453125,0.1455078125,0.98052978515625,0.26717557251908397,0.3511450381679389,-0.022900763358778626,23.78
1.0,-0.0794677734375,0.148681640625,0.98199462890625,0.0916030534351145,0.33587786259541985,-0.1450381679389313,23.64
1.0,-0.0787353515625,0.154296875,0.98687744140625,0.11450381679389313,0.32061068702290074,-0.04580152671755725,23.73
1.0,-0.0858154296875,0.147216796875,0.98321533203125,0.15267175572519084,0.32061068702290074,-0.13740458015267176,23.68
1.0,-0.0863037109375,0.14404296875,0.98223876953125,0.22137404580152673,0.10687022900763359,0.061068702290076333,23.68
1.0,-0.0797119140625,0.15087890625,0.98614501953125,0.16793893129770993,0.25190839694656486,0.007633587786259542,23.73
1.0,-0.0828857421875,0.1552734375,0.98516845703125,0.12213740458015267,0.2366412213740458,-0.12213740458015267,23.73
1.0,-0.0792236328125,0.145751953125,0.98419189453125,0.1450381679389313,0.1984732824427481,-0.08396946564885496,23.73
1.0,-0.0865478515625,0.152587890625,0.98297119140625,0.2595419847328244,0.007633587786259542,-0.03816793893129771,23.68
1.0,-0.0806884765625,0.15234375,0.98126220703125,0.32061068702290074,0.0916030534351145,0.11450381679389313,23.68
1.0,-0.0858154296875,0.157958984375,0.98614501953125,0.09923664122137404,0.26717557251908397,-0.03816793893129771,23.73
1.0,-0.0870361328125,0.15771484375,0.98492431640625,0.1450381679389313,0.09923664122137404,0.10687022900763359,23.68
1.0,-0.0833740234375,0.1494140625,0.97491455078125,0.32061068702290074,0.12213740458015267,-0.06870229007633588,23.78
1.0,-0.0877685546875,0.14794921875,0.98907470703125,0.2366412213740458,0.1450381679389313,-0.030534351145038167,23.68
1.0,-0.0865478515625,0.14892578125,0.98883056640625,0.1297709923664122,0.2824427480916031,0.1297709923664122,23.73
1.0,-0.0814208984375,0.148193359375,0.98419189453125,-0.12213740458015267,0.21374045801526717,-0.21374045801526717,23.64
1.0,-0.0875244140625,0.156494140625,0.98541259765625,0.04580152671755725,0.32061068702290074,-0.12213740458015267,23.68
1.0,-0.0833740234375,0.148193359375,0.98883056640625,0.16030534351145037,0.2366412213740458,0.015267175572519083,23.78
1.0,-0.0845947265625,0.146484375,0.98516845703125,0.007633587786259542,0.31297709923664124,-0.1297709923664122,23.73
1.0,-0.0875244140625,0.153564453125,0.97955322265625,0.20610687022900764,0.12213740458015267,-0.0916030534351145,23.64
1.0,-0.0833740234375,0.1455078125,0.98394775390625,0.030534351145038167,0.1984732824427481,-0.05343511450381679,23.68
1.0,-0.0784912109375,0.148193359375,0.98028564453125,0.061068702290076333,0.33587786259541985,-0.06870229007633588,23.68
1.0,-0.0875244140625,0.151611328125,0.97589111328125,0.10687022900763359,-0.16030534351145037,-0.05343511450381679,23.73
1.0,-0.0838623046875,0.146728515625,0.98297119140625,0.3511450381679389,0.32061068702290074,-0.030534351145038167,23.73
